assay	context
AR1	Prostate
AR2	Prostate
AR3	Prostate
AR4	Prostate
AR5	Prostate
AR6	Prostate
AR7	Prostate
AR8	Prostate
AR9	Prostate
AR10	Prostate
AR11	Prostate
AR12	Prostate
AR13	Prostate
AR14	Prostate
AR15	Prostate
AR16	Prostate
AR17	Prostate
AR18	Prostate
AR19	Prostate
AR20	Prostate
AR21	Prostate
AR22	Prostate
AR23	Prostate
AR24	Prostate
AR25	Prostate
AR26	Prostate
AR27	Prostate
AR28	Prostate
AR29	Prostate
AR30	Prostate
AR31	Prostate
AR32	Prostate
AR33	Prostate
AR34	Prostate
AR35	Prostate
AR36	Prostate
AR37	Prostate
AR38	Prostate
AR39	Prostate
AR40	Prostate
AR41	Prostate
AR42	Prostate
AR43	Prostate
AR44	Prostate
AR45	Prostate
AR46	Prostate
AR47	Prostate
AR48	Prostate
AR49	Prostate
AR50	Prostate
