assay	context
ADNP	BoneMarrow
AFF1	BoneMarrow
AFF1	Spleen
AFF4	Cervix
AGO1	Prostate
AGO2	BoneMarrow
AHR	Breast
APOBEC3B	Breast
AR	Breast
AR	EmbryonicKidney
AR	MammaryGland
AR	Prostate
ARID1A	Prostate
ARID3A	BoneMarrow
ARID3A	Liver
ARID5B	Blood
ARNT	BoneMarrow
ARNT	Breast
ARNT	Kidney
ASCL1	Lung
ASCL1	Skin
ASH2L	Prostate
ATF1	BoneMarrow
ATF1	Liver
ATF2	Blood
ATF2	Colon
ATF2	Embryo
ATF2	EmbryonicKidney
ATF3	Blood
ATF3	BoneMarrow
ATF3	Colon
ATF3	Embryo
ATF3	Liver
ATF3	Lung
ATF3	Skin
ATF4	Liver
ATF7IP	Cervix
ATRX	BoneMarrow
AUTS2	Cervix
BACH1	BoneMarrow
BACH1	Embryo
BACH2	Blood
BAHD1	EmbryonicKidney
BARX1	Colon
BARX2	Colon
BATF	Blood
BATF	BoneMarrow
BATF3	Blood
BCAT1	Colon
BCL11A	Blood
BCL11A	EmbryonicKidney
BCL11B	EmbryonicKidney
BCL11B	Thymus
BCL3	Blood
BCL3	Lung
BCL6	Blood
BCL6	BoneMarrow
BCL6	Tonsil
BCLAF1	Blood
BCLAF1	BoneMarrow
BCOR	BoneMarrow
BHLHE40	Blood
BHLHE40	BoneMarrow
BHLHE40	Liver
BHLHE40	Lung
BMI1	BoneMarrow
BMI1	Prostate
BRCA1	Breast
BRCA1	Cervix
BRCA1	Embryo
BRD1	Colon
BRD2	Blood
BRD2	EmbryonicKidney
BRD2	Pontine
BRD2	Prostate
BRD3	Blood
BRD3	EmbryonicKidney
BRD3	Prostate
BRD4	Blood
BRD4	BoneMarrow
BRD4	Brain
BRD4	Breast
BRD4	Colon
BRD4	Embryo
BRD4	EmbryonicKidney
BRD4	Lung
BRD4	Pancreas
BRD4	Pontine
BRD4	Prostate
BRD4	Retina
BRD4	Skin
BRD4	Stomach
BRD4	UmbilicalVein
BRD4	UrinaryBladder
BRD7	Skin
BRDU	Cervix
BRPF3	Colon
BTAF1	Cervix
C11orf30	BoneMarrow
C17orf49	Cervix
CAMTA2	Colon
CBFB	Blood
CBFB	BoneMarrow
CBFB	Pleura
CBX1	BoneMarrow
CBX1	EmbryonicKidney
CBX1	Liver
CBX2	BoneMarrow
CBX3	BoneMarrow
CBX3	Colon
CBX5	Blood
CBX5	Breast
CBX8	BoneMarrow
CBX8	Prostate
CCND2	Blood
CCNT2	BoneMarrow
CD59	Blood
CDC5L	BoneMarrow
CDCA2	Cervix
CDK12	Blood
CDK2	MammaryGland
CDK7	Blood
CDK8	Blood
CDK8	BoneMarrow
CDK8	Colon
CDK9	Blood
CDK9	Cervix
CDK9	Colon
CDK9	EmbryonicKidney
CDX2	Colon
CEBPA	Adipose
CEBPA	Blood
CEBPA	BoneMarrow
CEBPA	Liver
CEBPA	Pleura
CEBPB	Blood
CEBPB	BoneMarrow
CEBPB	Breast
CEBPB	Cervix
CEBPB	Colon
CEBPB	Embryo
CEBPB	Endometrium
CEBPB	Liver
CEBPB	Lung
CEBPD	BoneMarrow
CEBPD	Liver
CEBPG	BoneMarrow
CEBPG	Breast
CGGBP1	Foreskin
CHAMP1	BoneMarrow
CHD1	Blood
CHD1	BoneMarrow
CHD1	Breast
CHD1	Embryo
CHD1	Lung
CHD2	Blood
CHD2	BoneMarrow
CHD2	Cervix
CHD2	Embryo
CHD2	Liver
CHD5	BoneMarrow
CHD7	Embryo
CHD8	MammaryGland
CHRM2	Cervix
CHRM2	Endometrium
CHRM2	Pleura
CLOCK	Bone
CLOCK	Colon
COPS2	BoneMarrow
CPSF3L	Cervix
CREB1	Blood
CREB1	BoneMarrow
CREB1	Colon
CREB1	Embryo
CREB1	Endometrium
CREB1	Liver
CREB1	Lung
CREB1	MammaryGland
CREB1	Prostate
CREB3	BoneMarrow
CREBBP	Adipose
CREBBP	Blood
CREBBP	BoneMarrow
CREBBP	Brain
CREBBP	Colon
CREBBP	EmbryonicKidney
CREBBP	Tonsil
CREM	Liver
CRY1	Bone
CSDE1	BoneMarrow
CSNK2A1	Prostate
CTBP1	Breast
CTBP2	Embryo
CTCF	Adipose
CTCF	Blood
CTCF	Bone
CTCF	BoneMarrow
CTCF	Brain
CTCF	Breast
CTCF	Cerebellum
CTCF	Cervix
CTCF	Colon
CTCF	ConnectiveTissue
CTCF	Cordblood
CTCF	Embryo
CTCF	EmbryonicKidney
CTCF	Endometrium
CTCF	Esophagus
CTCF	Eye
CTCF	FetalLiver
CTCF	FetalLung
CTCF	Foreskin
CTCF	Gingiva
CTCF	Heart
CTCF	Kidney
CTCF	Liver
CTCF	Lung
CTCF	MammaryGland
CTCF	Pancreas
CTCF	PancreaticIslet
CTCF	Prostate
CTCF	PulmonaryArtery
CTCF	Retina
CTCF	SigmoidColon
CTCF	SkeletalMuscle
CTCF	Skin
CTCF	SpinalCord
CTCF	Spleen
CTCF	Stomach
CTCF	UmbilicalVein
CTCF	gastroesophagealsphincter
CTCFL	BoneMarrow
CTCFL	Breast
CTCFL	Colon
CUX1	Blood
CUX1	BoneMarrow
CUX1	Breast
DACOR1	Colon
DAXX	Prostate
DCP1A	Cervix
DCP1A	EmbryonicKidney
DDX20	BoneMarrow
DDX21	Cervix
DDX21	EmbryonicKidney
DDX5	Cervix
DDX5	Testis
DEAF1	BoneMarrow
DEK	Cervix
DEK	Pleura
DIDO1	BoneMarrow
DLX1	Colon
DMC1	Testis
DNMT1	BoneMarrow
DNMT3A	Foreskin
DNMT3B	Foreskin
DNMT3B	Liver
DPF1	BoneMarrow
DPF2	BoneMarrow
DPF2	Breast
DPPA2	EmbryonicKidney
DRAP1	Blood
DROSHA	Liver
DUX4	Muscle
DUX4	SkeletalMuscle
E2F1	Blood
E2F1	BoneMarrow
E2F1	Breast
E2F1	Cervix
E2F1	MammaryGland
E2F1	Prostate
E2F1	UmbilicalCord
E2F2	Colon
E2F3	Colon
E2F4	Adipose
E2F4	Blood
E2F4	BoneMarrow
E2F4	Breast
E2F4	Cervix
E2F5	BoneMarrow
E2F6	BoneMarrow
E2F6	Cervix
E2F6	Embryo
E2F6	Lung
E2F7	Colon
E2F7	Lung
E2F8	Colon
EBF1	Adipose
EBF1	Blood
EBF3	Brain
EBNA2	Blood
EED	Blood
EED	FetalLiver
EED	Prostate
EGLN2	MammaryGland
EGR1	Blood
EGR1	BoneMarrow
EGR1	Breast
EGR1	Colon
EGR1	Embryo
EGR1	Endometrium
EGR2	EmbryonicKidney
EGR3	EmbryonicKidney
EHMT2	Breast
EHMT2	EmbryonicKidney
ELF1	Blood
ELF1	BoneMarrow
ELF1	Brain
ELF1	Breast
ELF1	Colon
ELF1	Liver
ELF1	Lung
ELF3	Pancreaticductal
