assay	context
AR	Breast
AR	Colon
AR	EmbryonicKidney
AR	MammaryGland
AR	Ovary
AR	Prostate
ARNT	BoneMarrow
ARNT	Breast
ARNT	Colon
ARNT	Kidney
ARNTL	Bone
ARNTL	Colon
ASCL1	Lung
ASCL1	Skin
ASCL2	Colon
ATF1	BoneMarrow
ATF1	Colon
ATF1	Liver
ATF2	Blood
ATF2	Colon
ATF2	Embryo
ATF2	EmbryonicKidney
ATF2	Liver
ATF3	Blood
ATF3	BoneMarrow
ATF3	Colon
ATF3	Embryo
ATF3	Liver
ATF3	Lung
ATF3	Skin
ATF4	Liver
ATF7	Colon
ATOH1	Colon
BACH1	BoneMarrow
BACH1	Colon
BACH1	Embryo
BACH2	Blood
BARX1	Colon
BATF	Blood
BATF	BoneMarrow
BCL11A	Blood
BCL11A	Colon
BCL11A	Embryo
BCL11A	EmbryonicKidney
BCL6	Blood
BCL6	BoneMarrow
BCL6	Colon
BCL6	Tonsil
BHLHE40	Blood
BHLHE40	BoneMarrow
BHLHE40	Colon
BHLHE40	Liver
BHLHE40	Lung
BHLHE41	Colon
CDX2	Colon
CDX2	Embryo
CEBPA	Adipose
CEBPA	Blood
CEBPA	BoneMarrow
CEBPA	Liver
CEBPA	Pleura
CLOCK	Bone
CLOCK	Colon
CREB1	Blood
CREB1	BoneMarrow
CREB1	Colon
CREB1	Embryo
CREB1	Endometrium
CREB1	Liver
CREB1	Lung
CREB1	MammaryGland
CREB1	Prostate
CTCF	Adipose
CTCF	Blood
CTCF	Bone
CTCF	BoneMarrow
CTCF	Brain
CTCF	Breast
CTCF	Cerebellum
CTCF	Cervix
CTCF	Colon
CTCF	ConnectiveTissue
CTCF	Cordblood
CTCF	Embryo
CTCF	EmbryonicKidney
CTCF	Endometrium
CTCF	Esophagus
CTCF	Eye
CTCF	FetalLiver
CTCF	FetalLung
CTCF	Foreskin
CTCF	Gingiva
CTCF	Heart
CTCF	Kidney
CTCF	Liver
CTCF	Lung
CTCF	MammaryGland
CTCF	Pancreas
CTCF	PancreaticIslet
CTCF	Prostate
CTCF	PulmonaryArtery
CTCF	Retina
CTCF	SigmoidColon
CTCF	SkeletalMuscle
CTCF	Skin
CTCF	SpinalCord
CTCF	Spleen
CTCF	Stomach
CTCF	UmbilicalVein
CTCF	gastroesophagealsphincter
CTCFL	BoneMarrow
CTCFL	Breast
CTCFL	Colon
CUX1	Blood
CUX1	BoneMarrow
CUX1	Breast
CUX1	Colon
DDIT3	Colon
DLX1	Colon
DLX2	Colon
DMC1	Testis
DMRT1	Colon
DUX4	Muscle
DUX4	SkeletalMuscle
E2F1	Blood
E2F1	BoneMarrow
E2F1	Breast
