assay	context
FOXA1	MammaryGland
MYC	Breast
YY1	Blood
CTCF	EmbryonicKidney
GATA4	Embryo
TAL1	BoneMarrow
SP1	Colon
MYC	Blood
MYC	Colon
VDR	Blood
CTCF	MammaryGland
MYC	BoneMarrow
NEUROG2	FetalLung
CTCF	Liver
GATA2	BoneMarrow
PPARG	Adipose
FOSL2	Lung
CTCF	Brain
CTCF	Skin
CTCF	UmbilicalVein
CTCF	Embryo
NANOG	Embryo
FOXA2	Skin
ERG	Prostate
REST	Blood
FOXA1	Breast
POU5F1	Embryo
GATA1	BoneMarrow
FOXM1	Breast
GATA3	MammaryGland
GATA3	Breast
CTCF	Lung
FOXA1	Prostate
CTCF	Colon
CTCF	BoneMarrow
SPI1	Blood
RUNX1	Blood
CTCF	Breast
HOXB13	Prostate
AR	Prostate
CTCF	Blood
GATA2	Prostate
E2F1	Prostate
ESR1	MammaryGland
NR3C1	Lung
ESR1	Breast
RELA	Blood
NR3C1	Breast
