assay,context
TCF4,Colon
CDX2,Colon
VDR,Blood
MYC,Blood
JUN,Bone Marrow
MYC,Bone Marrow
ERG,Prostate
JUN,Breast
FLI1,Cord blood
STAT4,Blood
STAT6,Cord blood
MYC,Embryo
FLI1,Umbilical Vein
VDR,Colon
MYC,Cervix
MYC,Liver
MYC,Umbilical Vein
MYC,Skin
HIF1A,Umbilical Vein
MYC,Brain
MYC,Lung
PR,Mammary Gland
MYC,Embryonic Kidney
ERG,Bone Marrow
FLI1,Bone Marrow
GRHL2,Bronchia
FLI1,Blood
ERG,Blood
MYC,Mammary Gland
AR,Mammary Gland
FLI1,Pleura
JUN,Lung
ERG,Breast
MYC,Breast
ERG,Colon
MYC,Colon
HOXB13,Colon
HIF1A,Colon
JUN,Colon
AR,Colon
PR,Umbilical Vein
ASCL1,Skin
FOXO1,Colon
STAT4,Colon
STAT6,Colon
GRHL2,Colon
HIF1A,Kidney
JUN,Embryo
JUN,Cervix
JUN,Liver
JUN,Umbilical Vein
JUN,Mammary Gland
MYC,Bone
AR,Embryonic Kidney
HIF1A,Mammary Gland
ASCL1,Lung
FLI1,Brain
FLI1,Muscle
PR,Prostate
CDX2,Embryo
OTX2,Embryo
SNAI2,Embryo
TCF4,Embryo
AR,Ovary
JUN,Coronary artery smooth muscle
PR,Breast
FOXO1,Endometrium
VDR,Prostate
HOXB13,Prostate
HIF1A,Cervix
FOXO1,Tonsil
ZNF382,Embryonic Kidney
MYC,Foreskin
HIF1A,Lung
AR,Breast
MYC,LNCaP cells
GRHL2,Breast
GRHL2,Prostate
MYC,Prostate
NEUROG2,Fetal Lung
HIF1A,Bone
STAT6,Blood
FOXO1,Cord blood
AR,Prostate
