assay,context
RUNX1,Blood
MAX,Blood
CTCF,Embryo
CTCF,Cervix
E2F1,Cervix
STAT1,Cervix
CTCF,Liver
GATA2,Umbilical Vein
CTCF,Blood
ETS1,Blood
GATA2,Bone Marrow
RUNX1,Bone Marrow
SOX2,Brain
FOXA1,Prostate
CTCF,Breast
E2F1,Breast
FOXA1,Breast
GATA3,Breast
FOXA1,Mammary Gland
CTCF,Bone Marrow
CTCF,Pancreatic Islet
CTCF,Adipose
FOXA2,Liver
GATA2,Cord blood
HSF1,Adipose
PPARG,Adipose
RUNX1,Cord blood
STAT1,Blood
SOX2,Embryo
YY1,Blood
SP1,Colon
PPARG,Blood
ETS1,Prostate
FOXA1,Liver
CTCF,Umbilical Vein
CTCF,Skin
GATA2,Blood
REST,Bone Marrow
GATA3,Blood
YY1,Cervix
FOXM1,Bone
MAX,Lung
MAX,Brain
CTCF,Fetal Liver
SOX2,Skin
STAT3,Breast
FOXM1,Breast
HSF1,Colon
HSF1,Breast
CTCF,Lung
FOXA1,Lung
REST,Adrenal Gland
YY1,Embryo
CTCF,Mammary Gland
CTCF,Skeletal Muscle
HSF1,Lung
HSF1,Mammary Gland
REST,Blood
FOXA2,Lung
ETS1,Umbilical Vein
MAX,Cervix
CTCF,Brain
HSF1,Bone Marrow
SOX2,Colon
FOXA1,Colon
YY1,Colon
GATA2,Colon
GATA4,Colon
MAX,Colon
CTCF,Colon
FOXM1,Colon
REST,Colon
STAT3,Colon
E2F1,Colon
CTCF,Prostate
E2F1,Bone Marrow
STAT3,Bone Marrow
STAT3,Blood
STAT3,Peritoneal Effusion
STAT3,Lymph Node
FOXA2,Colon
PPARG,Colon
RUNX1,Colon
STAT1,Colon
FOXM1,Cervix
SOX2,Thyroid
SOX2,Lung
E2F1,Prostate
GATA3,Mammary Gland
CTCF,Bone
CTCF,Fetal Lung
CTCF,Gingiva
MAX,Embryo
CTCF,Spinal Cord
CTCF,Cerebellum
CTCF,Heart
CTCF,Esophagus
CTCF,Embryonic Kidney
STAT3,Cervix
MAX,Liver
HSF1,Liver
CTCF,Foreskin
CTCF,Pulmonary Artery
MAX,Umbilical Vein
CTCF,Connective Tissue
STAT1,Bone Marrow
MAX,Bone Marrow
YY1,Bone Marrow
CTCF,Kidney
CTCF,Pancreas
GATA3,Bone Marrow
CTCF,Spleen
CTCF,Eye
GATA3,Lung
SP1,Lung
YY1,Lung
ETS1,Lung
REST,Lung
FOSL2,Lung
FOXA1,Endometrium
CTCF,Endometrium
FOXM1,Endometrium
MAX,Endometrium
REST,Endometrium
YY1,Endometrium
FOXM1,Blood
SP1,Blood
REST,Embryo
SP1,Embryo
REST,Cervix
YY1,Liver
SP1,Liver
FOSL2,Liver
REST,Liver
ETS1,Bone Marrow
SP1,Bone Marrow
REST,Breast
FOSL2,Breast
MAX,Breast
REST,Pancreas
REST,Brain
YY1,Brain
FOSL2,Brain
FOXM1,Brain
GATA3,Brain
GATA4,Stomach
PPARG,Lung
ETS1,Pancreas
RUNX1,Prostate
FOXA1,Embryo
FOXA2,Embryo
GATA4,Embryo
STAT3,Embryo
GATA2,Prostate
FOXM1,Embryonic Kidney
FOSL2,Endometrium
HSF1,Bone
FOXM1,Mammary Gland
E2F1,Mammary Gland
RUNX1,Pleura
CTCF,gastroesophageal sphincter
CTCF,Stomach
CTCF,Sigmoid Colon
GATA4,Liver
SP1,Breast
REST,Embryonic Kidney
SP1,Embryonic Kidney
YY1,Embryonic Kidney
E2F1,Umbilical Cord
FOXA1,Pancreatic ductal
RUNX1,Fetal Liver
GATA3,Thymus
FOXA1,endometrioid adenocarcinoma
E2F1,Blood
RUNX1,Breast
CTCF,Retina
STAT3,Umbilical Cord
FOXA2,Skin
GATA3,Embryo
FOXA2,Endoderm
RUNX1,Kidney
CTCF,Cord blood
GATA4,Skin
STAT3,Lung
STAT1,Lung
GATA4,Lung
